TFs	Genes	Occurrence	occurrence_percentage	Weights	condition
FOS	DUSP2	4	100.0	0.1913161727953546	CD8 Exhausted
FOS	NFATC2	4	100.0	0.1760886187178935	CD8 Exhausted
FOS	JUND	3	75.0	0.1449476496089691	CD8 Exhausted
FOS	MGST3	3	75.0	0.1378821404418492	CD8 Exhausted
FOS	PDE4B	3	75.0	0.1373840964679284	CD8 Exhausted
FOS	IDH2	3	75.0	0.1074079119827761	CD8 Exhausted
FOS	TUBA1C	3	75.0	0.1026197668767221	CD8 Exhausted
FOS	TXN	4	100.0	0.0987431776610908	CD8 Exhausted
FOSL2	ARHGEF7	4	100.0	1.7572438394006342	CD8 Exhausted
FOSL2	ACP5	3	75.0	1.3542501792886237	CD8 Exhausted
FOSL2	JUND	4	100.0	1.3059519956120669	CD8 Exhausted
FOSL2	SATB1	3	75.0	1.2903064714126615	CD8 Exhausted
FOSL2	SLC16A3	4	100.0	1.1649198496996935	CD8 Exhausted
FOSL2	NFKBIZ	3	75.0	1.0817808055854974	CD8 Exhausted
FOSL2	GZMB	4	100.0	1.059490942994804	CD8 Exhausted
FOSL2	STAT3	4	100.0	1.023136830257919	CD8 Exhausted
FOSL2	FOSL2	4	100.0	1.0	CD8 Exhausted
FOSL2	ZNF331	3	75.0	0.9020240798021514	CD8 Exhausted
FOSL2	GTF3A	3	75.0	0.845111125436838	CD8 Exhausted
FOSL2	RFTN1	4	100.0	0.8427063704970006	CD8 Exhausted
FOSL2	SEMA4D	3	75.0	0.8206026836955008	CD8 Exhausted
FOSL2	SMCHD1	4	100.0	0.7535743111539229	CD8 Exhausted
FOSL2	RGS2	3	75.0	0.7386731370527778	CD8 Exhausted
FOSL2	INSIG1	4	100.0	0.5955449859128175	CD8 Exhausted
FOSL2	TSHZ2	3	75.0	0.5947559833598444	CD8 Exhausted
FOSL2	RALA	4	100.0	0.5736561994684337	CD8 Exhausted
FOSL2	CMIP	4	100.0	0.5678115089457428	CD8 Exhausted
FOSL2	CREM	4	100.0	0.5403781655458322	CD8 Exhausted
FOSL2	SYTL3	4	100.0	0.5348816805620706	CD8 Exhausted
FOSL2	JOSD1	4	100.0	0.4955858116210422	CD8 Exhausted
FOSL2	ATP1B3	4	100.0	0.4758133792725584	CD8 Exhausted
FOSL2	RPS29	4	100.0	0.4662746923695015	CD8 Exhausted
FOSL2	SPTAN1	4	100.0	0.4592337961210415	CD8 Exhausted
FOSL2	LSM2	3	75.0	0.4439566111657524	CD8 Exhausted
FOSL2	DUSP2	3	75.0	0.4331029177252062	CD8 Exhausted
FOSL2	NR3C1	3	75.0	0.4214351819192419	CD8 Exhausted
FOSL2	SYAP1	3	75.0	0.4181104338818457	CD8 Exhausted
FOSL2	CD4	3	75.0	0.4107290643022967	CD8 Exhausted
FOSL2	FYN	4	100.0	0.4096139308448631	CD8 Exhausted
FOSL2	GATA3	4	100.0	0.3816069191389172	CD8 Exhausted
FOSL2	LMBRD1	3	75.0	0.3768833613797659	CD8 Exhausted
FOSL2	FOXP1	4	100.0	0.3518100370655061	CD8 Exhausted
FOSL2	EIF4A1	4	100.0	0.3414950639659521	CD8 Exhausted
FOSL2	STAT5B	4	100.0	0.3321462793526713	CD8 Exhausted
FOSL2	PDE4B	4	100.0	0.3243533061765616	CD8 Exhausted
FOSL2	ZFP36	3	75.0	0.296676361073669	CD8 Exhausted
FOSL2	USP11	3	75.0	0.2745608205819372	CD8 Exhausted
FOSL2	FAM177A1	4	100.0	0.2599311524161058	CD8 Exhausted
FOSL2	DDIT4	3	75.0	0.2515546171454499	CD8 Exhausted
FOSL2	CYSTM1	3	75.0	0.2322764702768406	CD8 Exhausted
FOSL2	ZEB2	3	75.0	0.2061215649774979	CD8 Exhausted
FOSL2	CD7	4	100.0	0.1800133157358061	CD8 Exhausted
FOSL2	RPS27	3	75.0	0.1714776098058953	CD8 Exhausted
FOSL2	ZFP36L2	4	100.0	0.1559891667579392	CD8 Exhausted
FOSL2	CCND2	4	100.0	0.0749620180005813	CD8 Exhausted
