regulator	target	condition	weight
CD5	THUMPD1	differential	1
AKNA	CBLB	differential	1
AKNA	H2AFY	differential	1
AKNA	NFU1	differential	1
FAM177A1	BHLHE40	non-differential	1
FAM177A1	CDC25B	differential	1
FAM177A1	RUNX3	differential	1
FAM177A1	EMB	differential	1
STAT5A	SFT2D2	non-differential	1
OASL	ARHGAP9	differential	1
OASL	DNAJC1	differential	1
OASL	LCP1	differential	1
OASL	GARS	differential	1
OASL	H2AFY	differential	1
OASL	ECH1	differential	1
OASL	RPS17	differential	1
OASL	TMEM70	differential	1
OASL	VOPP1	differential	1
TMEM2	TSHZ2	differential	1
TMEM2	MAP1LC3B2	differential	1
TMEM2	WTAP	non-differential	1
TMEM2	PCID2	differential	1
SYAP1	ARHGAP9	differential	1
SYAP1	LMNB1	non-differential	1
SYAP1	PLIN2	non-differential	1
SYAP1	TUBB4B	differential	1
GBP5	NFAT5	non-differential	1
GBP5	ECH1	differential	1
GBP5	CAPN1	differential	1
MIR4435-2HG	RASAL3	differential	1
MIR4435-2HG	URM1	differential	1
DDIT4	ABLIM1	differential	1
DDIT4	S1PR1	differential	1
DDIT4	MTHFD2	differential	1
DDIT4	SPOCK2	differential	1
DDIT4	PRDM1	non-differential	1
DDIT4	GPR137B	differential	1
DDIT4	KCNAB2	differential	1
DDIT4	GPN1	differential	1
DDIT4	WDR46	differential	1
AC133644.2	CDC25B	differential	1
AC133644.2	PIM3	differential	1
AC133644.2	FAM60A	differential	1
GLA	MOB4	differential	1
GLA	CITED2	differential	1
GLA	GPR137B	differential	1
GLA	CCS	differential	1
GALNT2	ENTPD1	differential	1
GALNT2	ITGAE	non-differential	1
GALNT2	ZEB1	differential	1
SAMSN1	CRIP1	differential	1
SAMSN1	DOK2	non-differential	1
SAMSN1	BANF1	differential	1
SAMSN1	BNIP3L	differential	1
SAMSN1	UBC	differential	1
SAMSN1	THOC3	differential	1
SAMSN1	ZMYM5	non-differential	1
ID2	TRAF3IP3	differential	1
ID2	APMAP	differential	1
ID2	RHBDF2	differential	1
ID2	HSP90B1	non-differential	1
ID2	PEX16	differential	1
ID2	IKZF1	differential	1
H2AFX	IL4R	differential	1
H2AFX	TIMM10	differential	1
LITAF	IRF2BP2	differential	1
LITAF	GCLM	non-differential	1
LITAF	CD82	non-differential	1
LITAF	CALCOCO2	differential	1
GPCPD1	PTGER4	differential	1
GPCPD1	CHMP1B	differential	1
GPCPD1	ASXL2	differential	1
GPCPD1	LPCAT3	differential	1
GPCPD1	ANKRD49	differential	1
GPCPD1	CTNNB1	differential	1
GPCPD1	TM9SF1	differential	1
GZMM	RORA	differential	1
RGCC	TNFAIP8	differential	1
RGCC	CD59	non-differential	1
RGCC	PIM1	non-differential	1
RGCC	PRKDC	differential	1
TRAF3IP3	CTSA	differential	1
TRAF3IP3	LRBA	non-differential	1
TRAF3IP3	CHMP4B	differential	1
MALAT1	GSTP1	non-differential	1
MALAT1	RPL22L1	differential	1
MALAT1	ODC1	non-differential	1
CORO1B	VPS37B	differential	1
CORO1B	GATA3	differential	1
CORO1B	PMVK	differential	1
CORO1B	TYMP	non-differential	1
CORO1B	GRSF1	non-differential	1
CORO1B	C11ORF31	differential	1
CORO1B	MOB3A	differential	1
TRBC1	IER2	non-differential	1
TRBC1	ANKRD10	differential	1
TRBC1	RHBDD2	differential	1
TRBC1	IKZF1	differential	1
IL2RB	SYNGR2	differential	1
IL2RB	CD6	differential	1
IL2RB	SKIL	differential	1
IL2RB	BANP	differential	1
IL2RB	URM1	differential	1
IL2RB	EFHD2	differential	1
IL2RB	NUMA1	differential	1
CYSTM1	DCP1B	differential	1
CYSTM1	SLC9A3R1	differential	1
CYSTM1	WSB1	differential	1
WARS	SQSTM1	differential	1
WARS	MTHFD2	differential	1
WARS	USP36	differential	1
WARS	GSTK1	differential	1
WARS	ERP44	differential	1
ICOS	RPL4	differential	1
ICOS	PHTF2	differential	1
ICOS	CYTIP	differential	1
RPL41	FYB	differential	1
RPL41	RPL26	differential	1
RPL41	SET	differential	1
RPL41	WDR74	differential	1
RPL41	MOB3A	differential	1
SRSF7	PSAP	differential	1
SRSF7	TXNIP	differential	1
SRSF7	PLK3	differential	1
SRSF7	CD82	non-differential	1
SRSF7	SYNE1	non-differential	1
ENTPD1	PPA1	differential	1
ENTPD1	DUSP16	differential	1
ENTPD1	FYB	differential	1
ENTPD1	RPL22L1	differential	1
ENTPD1	MOB3A	differential	1
ENTPD1	CTSD	differential	1
TMPO	RASGRP1	differential	1
TMPO	ST3GAL1	non-differential	1
TMPO	IRF1	differential	1
LY6E	PTMS	non-differential	1
LY6E	PHF5A	differential	1
ARHGAP9	YIPF5	differential	1
ARHGAP9	CRTAP	differential	1
CPNE3	RALGAPA1	differential	1
CPNE3	MAPRE2	differential	1
CPNE3	PLK3	differential	1
CPNE3	MZT2A	differential	1
CPNE3	LUZP1	non-differential	1
CPNE3	NFE2L2	differential	1
CLEC2B	AHI1	differential	1
CLEC2B	ARID5A	differential	1
CLEC2B	CCNDBP1	differential	1
CLEC2B	EVI2A	differential	1
YPEL5	TRIAP1	differential	1
S100A6	C1QBP	differential	1
S100A6	EIF4EBP1	differential	1
S100A6	MZT2B	differential	1
S100A6	RPL22L1	differential	1
TNFRSF25	PMAIP1	differential	1
TNFRSF25	EMP3	differential	1
TNFRSF25	TXNIP	differential	1
TNFRSF25	FAM46C	differential	1
TNFRSF25	GBP2	differential	1
TNFRSF25	FKBP5	non-differential	1
TNFRSF25	PRKCQ	differential	1
TNFRSF25	TNIP1	differential	1
TUBA4A	EZR	differential	1
TUBA4A	VIM	non-differential	1
TUBA4A	GTF3A	differential	1
TUBA4A	IL4R	differential	1
TUBA4A	SLC9A3R1	differential	1
TUBA4A	AHR	non-differential	1
TUBA4A	PREP	non-differential	1
APOBEC3G	PRKX	differential	1
APOBEC3G	FLNA	differential	1
EZR	TPM4	differential	1
EZR	EFR3A	differential	1
SYNGR2	NEAT1	differential	1
SYNGR2	CDC42EP3	differential	1
APLP2	GADD45A	non-differential	1
APLP2	IFNGR1	differential	1
APLP2	GPR65	differential	1
APLP2	IL6ST	non-differential	1
APLP2	CDK6	differential	1
APLP2	TTC3	differential	1
APLP2	CEBPZ	differential	1
APLP2	C11ORF73	differential	1
APLP2	NUDT4	differential	1
ITPR1	FLNA	differential	1
ITPR1	RNF145	differential	1
